threshold,tar,far
-0.08015847,1.00000000,1.00000000
-0.05533393,1.00000000,0.99966667
-0.03414240,1.00000000,0.99933333
-0.01590619,1.00000000,0.99900000
0.01761748,1.00000000,0.99866667
0.04505002,1.00000000,0.99833333
0.04669920,0.99966667,0.99833333
0.07164189,0.99966667,0.99800000
0.09918378,0.99933333,0.99800000
0.10918988,0.99933333,0.99766667
0.11072873,0.99933333,0.99733333
0.11402602,0.99933333,0.99700000
0.12278639,0.99900000,0.99700000
0.12931709,0.99866667,0.99700000
0.13634074,0.99866667,0.99666667
0.13701989,0.99866667,0.99633333
0.14355358,0.99866667,0.99600000
0.14516863,0.99866667,0.99566667
0.14757806,0.99866667,0.99533333
0.15832047,0.99866667,0.99500000
0.16553131,0.99833333,0.99500000
0.16665974,0.99833333,0.99466667
0.18093520,0.99833333,0.99433333
0.18591619,0.99800000,0.99433333
0.19665156,0.99800000,0.99400000
0.20138110,0.99800000,0.99366667
0.20394832,0.99766667,0.99366667
0.20627929,0.99766667,0.99333333
0.20670983,0.99766667,0.99300000
0.20938197,0.99766667,0.99266667
0.21662450,0.99766667,0.99233333
0.23676702,0.99766667,0.99200000
0.23736000,0.99766667,0.99166667
0.24069175,0.99733333,0.99166667
0.24227241,0.99733333,0.99133333
0.24317853,0.99733333,0.99100000
0.24473280,0.99700000,0.99100000
0.24533620,0.99700000,0.99066667
0.24588281,0.99700000,0.99033333
0.24889088,0.99666667,0.99033333
0.25026894,0.99666667,0.99000000
0.25174081,0.99666667,0.98966667
0.25236708,0.99633333,0.98966667
0.25400794,0.99633333,0.98933333
0.25686258,0.99633333,0.98900000
0.25700349,0.99633333,0.98866667
0.25754076,0.99633333,0.98833333
0.26052678,0.99633333,0.98800000
0.26066858,0.99633333,0.98766667
0.26146024,0.99600000,0.98766667
0.26349270,0.99600000,0.98733333
0.26357174,0.99600000,0.98700000
0.26362112,0.99600000,0.98666667
0.26730251,0.99600000,0.98633333
0.26999933,0.99600000,0.98600000
0.27310893,0.99566667,0.98600000
0.27315727,0.99566667,0.98566667
0.27827016,0.99566667,0.98533333
0.28203589,0.99566667,0.98500000
0.28386682,0.99566667,0.98466667
0.28758711,0.99566667,0.98433333
0.28923604,0.99566667,0.98400000
0.29012528,0.99533333,0.98400000
0.29097152,0.99533333,0.98366667
0.29288802,0.99533333,0.98333333
0.29505792,0.99533333,0.98300000
0.29965806,0.99533333,0.98266667
0.30206916,0.99533333,0.98233333
0.30383396,0.99533333,0.98200000
0.30473694,0.99533333,0.98166667
0.31726140,0.99533333,0.98133333
0.31896073,0.99533333,0.98100000
0.31899184,0.99533333,0.98066667
0.31996799,0.99533333,0.98033333
0.32309058,0.99500000,0.98033333
0.32356203,0.99466667,0.98033333
0.32793733,0.99466667,0.98000000
