batch_size,duration_sec,final_round,final_spreadout_loss,final_train_loss,fraction_fit,local_epochs,lr,margin,num_rounds,pretrained,score,spreadout_lr,spreadout_margin,spreadout_steps,spreadout_strength,status
32,26.801,3,0.00033899451955221593,0.2596128991246223,0.5,1,0.001,0.5,3,vggface2,0.2596128991246223,0.1,0.35,1,0.5,ok
32,64.888,5,0.0008727888343855739,0.12798195593059064,0.5,2,0.001,0.5,5,vggface2,0.12798195593059064,0.1,0.35,5,1.0,ok
32,39.488,3,0.00029749012901447713,0.24609917297959327,0.5,2,0.0005,0.5,3,vggface2,0.24609917297959327,0.1,0.35,1,0.5,ok
16,133.167,10,0.0017571515636518598,0.13920439086854458,0.5,2,0.001,0.5,10,vggface2,0.13920439086854458,0.1,0.35,1,1.0,ok
32,65.76,5,0.0008713934221304953,0.13210079930722712,0.5,2,0.001,0.5,5,vggface2,0.13210079930722712,0.1,0.35,1,1.0,ok
16,71.136,3,0.0,0.26233954886595406,1.0,1,0.0005,0.5,3,vggface2,0.26233954886595406,0.1,0.35,5,0.0,ok
16,42.745,3,0.0,0.24183831125497818,0.5,2,0.0005,0.5,3,vggface2,0.24183831125497818,0.1,0.35,5,0.0,ok
16,85.007,10,0.0007633146597072482,0.13625906325876713,0.5,1,0.001,0.5,10,vggface2,0.13625906325876713,0.1,0.35,1,0.5,ok
32,222.378,10,0.004947316367179155,0.23315136869748435,1.0,1,0.0005,0.5,10,vggface2,0.23315136869748435,0.1,0.35,1,1.0,ok
32,277.825,10,0.006309037562459707,0.11190270529852973,1.0,2,0.0005,0.5,10,vggface2,0.11190270529852973,0.1,0.35,5,1.0,ok
32,93.204,5,0.0024696986656636,0.25352445473273594,1.0,1,0.001,0.5,5,vggface2,0.25352445473273594,0.1,0.35,1,0.5,ok
32,92.08,5,0.0,0.2582758019698991,1.0,1,0.0005,0.5,5,vggface2,0.2582758019698991,0.1,0.35,1,0.0,ok
